market_value,name,url
35000000,João Palhinha,https://www.transfermarkt.com/joao-palhinha/profil/spieler/257455
35000000,José María Giménez,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845
35000000,José Gayà,https://www.transfermarkt.com/jose-gaya/profil/spieler/221322
35000000,Luke Shaw,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288
35000000,Mike Maignan,https://www.transfermarkt.com/mike-maignan/profil/spieler/182906
35000000,Sébastien Haller,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375
35000000,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476
35000000,Niklas Süle,https://www.transfermarkt.com/niklas-sule/profil/spieler/166601
35000000,Hakan Calhanoglu,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414
35000000,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017
35000000,Karim Benzema,https://www.transfermarkt.com/karim-benzema/profil/spieler/18922
33000000,Nico Schlotterbeck,https://www.transfermarkt.com/nico-schlotterbeck/profil/spieler/388198
32000000,Jacob Ramsey,https://www.transfermarkt.com/jacob-ramsey/profil/spieler/503749
32000000,Conor Gallagher,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362
32000000,Pedro Neto,https://www.transfermarkt.com/pedro-neto/profil/spieler/487465
32000000,Khéphren Thuram,https://www.transfermarkt.com/khephren-thuram/profil/spieler/463618
32000000,Robert Sánchez,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151
32000000,Harvey Barnes,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065
32000000,Evan Ndicka,https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149
32000000,Nayef Aguerd,https://www.transfermarkt.com/nayef-aguerd/profil/spieler/361914
32000000,Ollie Watkins,https://www.transfermarkt.com/ollie-watkins/profil/spieler/324358
32000000,Marcus Thuram,https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528
32000000,Christian Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
32000000,Wilfred Ndidi,https://www.transfermarkt.com/wilfred-ndidi/profil/spieler/274839
32000000,Joachim Andersen,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827
30000000,Gabri Veiga,https://www.transfermarkt.com/gabri-veiga/profil/spieler/699704
30000000,Alejandro Balde,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688
30000000,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184
30000000,Armando Broja,https://www.transfermarkt.com/armando-broja/profil/spieler/571743
30000000,Giorgio Scalvini,https://www.transfermarkt.com/giorgio-scalvini/profil/spieler/571604
30000000,Oihan Sancet,https://www.transfermarkt.com/oihan-sancet/profil/spieler/571020
30000000,Xavi Simons,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931
30000000,Edmond Tapsoba,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545
30000000,Mohammed Kudus,https://www.transfermarkt.com/mohammed-kudus/profil/spieler/543499
30000000,Cheick Doucouré,https://www.transfermarkt.com/cheick-doucoure/profil/spieler/543387
30000000,Roger Ibañez,https://www.transfermarkt.com/roger-ibanez/profil/spieler/524481
30000000,Matheus Cunha,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894
30000000,Eberechi Eze,https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999
30000000,Ryan Gravenberch,https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573
30000000,Brennan Johnson,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607
30000000,Youssoufa Moukoko,https://www.transfermarkt.com/youssoufa-moukoko/profil/spieler/467720
30000000,Orkun Kökcü,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567
30000000,Morgan Gibbs-White,https://www.transfermarkt.com/morgan-gibbs-white/profil/spieler/429014
30000000,Pedro Gonçalves,https://www.transfermarkt.com/pedro-goncalves/profil/spieler/426620
30000000,Ademola Lookman,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040
30000000,Ferran Torres,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
30000000,Brenden Aaronson,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
30000000,Carlos Soler,https://www.transfermarkt.com/carlos-soler/profil/spieler/372246
30000000,Teun Koopmeiners,https://www.transfermarkt.com/teun-koopmeiners/profil/spieler/360518
30000000,Daichi Kamada,https://www.transfermarkt.com/daichi-kamada/profil/spieler/356141
30000000,Joe Willock,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
30000000,Diego Carlos,https://www.transfermarkt.com/diego-carlos/profil/spieler/329145
30000000,Brais Méndez,https://www.transfermarkt.com/brais-mendez/profil/spieler/309110
30000000,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730
30000000,Manuel Locatelli,https://www.transfermarkt.com/manuel-locatelli/profil/spieler/265088
30000000,Joe Gomez,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178
30000000,Youri Tielemans,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565
30000000,Otávio,https://www.transfermarkt.com/otavio/profil/spieler/231289
30000000,Paulo Dybala,https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050
30000000,Nabil Fekir,https://www.transfermarkt.com/nabil-fekir/profil/spieler/203496
30000000,Andreas Christensen,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948
30000000,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590
30000000,Adrien Rabiot,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913
30000000,Seko Fofana,https://www.transfermarkt.com/seko-fofana/profil/spieler/182893
30000000,Gerard Moreno,https://www.transfermarkt.com/gerard-moreno/profil/spieler/177467
30000000,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553
30000000,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
30000000,Leandro Trossard,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028
28000000,Tyrick Mitchell,https://www.transfermarkt.com/tyrick-mitchell/profil/spieler/730893
28000000,Mohamed Simakan,https://www.transfermarkt.com/mohamed-simakan/profil/spieler/666234
28000000,Mohamed Camara,https://www.transfermarkt.com/mohamed-camara/profil/spieler/543382
28000000,Jesper Lindström,https://www.transfermarkt.com/jesper-lindstrom/profil/spieler/513245
28000000,Noni Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987
28000000,Nicolás González,https://www.transfermarkt.com/nicolas-gonzalez/profil/spieler/486031
28000000,Bryan Mbeumo,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039
28000000,Nicolò Zaniolo,https://www.transfermarkt.com/nicolo-zaniolo/profil/spieler/392085
28000000,Guido Rodríguez,https://www.transfermarkt.com/guido-rodriguez/profil/spieler/342385
28000000,Noussair Mazraoui,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456
28000000,Denzel Dumfries,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528
28000000,Emiliano Buendía,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247
28000000,Hirving Lozano,https://www.transfermarkt.com/hirving-lozano/profil/spieler/316889
28000000,Franck Kessié,https://www.transfermarkt.com/franck-kessie/profil/spieler/294808
28000000,Timothy Castagne,https://www.transfermarkt.com/timothy-castagne/profil/spieler/262226
28000000,Gonçalo Guedes,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122
28000000,Konrad Laimer,https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967
28000000,Julian Brandt,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492
28000000,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509
28000000,Marcelo Brozovic,https://www.transfermarkt.com/marcelo-brozovic/profil/spieler/156617
28000000,Emiliano Martínez,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873
28000000,Granit Xhaka,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455
28000000,Aleksandar Mitrović,https://www.transfermarkt.com/aleksandar-mitrovi%C4%87/profil/spieler/51152
27000000,Rayan Cherki,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223
27000000,Michael Olise,https://www.transfermarkt.com/michael-olise/profil/spieler/566723
27000000,Fábio Vieira,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598
27000000,Charles De Ketelaere,https://www.transfermarkt.com/charles-de-ketelaere/profil/spieler/435772
27000000,Arnaut Danjuma,https://www.transfermarkt.com/arnaut-danjuma/profil/spieler/355861
27000000,Gianluca Scamacca,https://www.transfermarkt.com/gianluca-scamacca/profil/spieler/315867
27000000,John McGinn,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116
27000000,Wilfried Zaha,https://www.transfermarkt.com/wilfried-zaha/profil/spieler/145988
26000000,Eljif Elmas,https://www.transfermarkt.com/eljif-elmas/profil/spieler/400489
26000000,David Raum,https://www.transfermarkt.com/david-raum/profil/spieler/318204
25000000,Alejandro Garnacho,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779
25000000,Danilo,https://www.transfermarkt.com/danilo/profil/spieler/808509
25000000,Hugo Ekitiké,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726
25000000,Nico Williams,https://www.transfermarkt.com/nico-williams/profil/spieler/709187
25000000,Piero Hincapié,https://www.transfermarkt.com/piero-hincapie/profil/spieler/659813
25000000,Elye Wahi,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542
25000000,António Silva,https://www.transfermarkt.com/antonio-silva/profil/spieler/650568
25000000,Roméo Lavia,https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451
25000000,Manu Koné,https://www.transfermarkt.com/manu-kone/profil/spieler/624690
25000000,Malo Gusto,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322
25000000,Arnaud Kalimuendo,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959
25000000,Anthony Elanga,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189
25000000,Youssouf Fofana,https://www.transfermarkt.com/youssouf-fofana/profil/spieler/569598
25000000,Gonçalo Inácio,https://www.transfermarkt.com/goncalo-inacio/profil/spieler/549006
25000000,Max Kilman,https://www.transfermarkt.com/max-kilman/profil/spieler/525247
25000000,Tino Livramento,https://www.transfermarkt.com/tino-livramento/profil/spieler/503981
25000000,Folarin Balogun,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770
25000000,Giorgi Mamardashvili,https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676
25000000,Jeremie Frimpong,https://www.transfermarkt.com/jeremie-frimpong/profil/spieler/484547
25000000,Juan Foyth,https://www.transfermarkt.com/juan-foyth/profil/spieler/480763
25000000,Manuel Ugarte,https://www.transfermarkt.com/manuel-ugarte/profil/spieler/476701
25000000,Emerson Royal,https://www.transfermarkt.com/emerson-royal/profil/spieler/476344
25000000,Kiernan Dewsbury-Hall,https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188
25000000,Mattéo Guendouzi,https://www.transfermarkt.com/matteo-guendouzi/profil/spieler/465830
25000000,Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936
25000000,James Justin,https://www.transfermarkt.com/james-justin/profil/spieler/413220
25000000,Yves Bissouma,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425
25000000,Maxence Caqueret,https://www.transfermarkt.com/maxence-caqueret/profil/spieler/395237
25000000,Boubacar Kamara,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327
25000000,Callum Hudson-Odoi,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768
25000000,Leon Bailey,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626
25000000,Axel Disasi,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047
25000000,Tetê,https://www.transfermarkt.com/tete/profil/spieler/371256
